ID,Date,Status,Type_description,href
13587202,10/25/2021,FAILED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=13587202
12941650,08/23/2021,FAILED,CONSERVATION ANNUAL,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=12941650
13528258,08/09/2021,FAILED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=13528258
13346279,03/03/2021,FAILED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=13346279
13175960,11/30/2020,FAILED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=13175960
12770690,05/30/2019,PASSED,BOILER ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=12770690
12670542,05/21/2019,FAILED,CONSERVATION ANNUAL,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=12670542
12277260,08/27/2018,FAILED,CONSERVATION ANNUAL,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=12277260
12418304,05/30/2018,PASSED,BOILER ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=12418304
12226018,06/21/2017,PASSED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=12226018
12136453,06/21/2017,PASSED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=12136453
11228963,06/19/2017,FAILED,CONSERVATION ANNUAL,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=11228963
12101602,04/21/2017,PASSED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=12101602
12214968,03/22/2017,PASSED,SIGN ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=12214968
12051724,12/21/2016,FAILED,CONSERVATION COMPLAINT INSPECT,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=12051724
11750904,11/03/2016,PASSED,BOILER ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=11750904
11986288,09/01/2016,PASSED,REFRIGERATION ANNUAL,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=11986288
11787131,08/24/2016,PASSED,REFRIGERATION ANNUAL,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=11787131
11835125,08/02/2016,PASSED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=11835125
11933971,08/02/2016,PASSED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=11933971
11413712,10/23/2015,PASSED,BOILER ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=11413712
11623884,08/28/2015,PASSED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=11623884
11014536,07/28/2015,PASSED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=11014536
11244373,07/28/2015,PASSED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=11244373
11542833,07/20/2015,PASSED,SIGN ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=11542833
11598664,06/02/2015,FAILED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=11598664
11497331,05/20/2015,FAILED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=11497331
11224848,02/27/2015,FAILED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=11224848
11074793,10/15/2014,PASSED,BOILER ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=11074793
10934450,09/19/2014,PASSED,STRUCTURAL SIGN INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=10934450
10934449,09/19/2014,PASSED,SIGN PERMIT INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=10934449
10995934,04/04/2014,FAILED,CONSERVATION ANNUAL,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=10995934
10895288,12/18/2013,PASSED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=10895288
10789690,12/04/2013,PASSED,REFRIGERATION ANNUAL,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=10789690
10775620,10/22/2013,PASSED,BOILER ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=10775620
10912983,10/01/2013,PASSED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=10912983
11002791,10/01/2013,FAILED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=11002791
10715924,08/21/2013,FAILED,CONSERVATION ANNUAL,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=10715924
10270889,10/16/2012,FAILED,CONSERVATION ANNUAL,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=10270889
10740771,08/28/2012,PASSED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=10740771
10681952,08/28/2012,PASSED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=10681952
10560743,05/23/2012,PASSED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=10560743
9995366,04/09/2012,PASSED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=9995366
10411517,03/07/2012,PASSED,BOILER ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=10411517
10530867,02/21/2012,FAILED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=10530867
10230414,10/27/2011,FAILED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=10230414
10167186,09/12/2011,PASSED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=10167186
10155814,07/13/2011,PASSED,VENT ANNUAL,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=10155814
9952632,05/05/2011,FAILED,CONSERVATION ANNUAL,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=9952632
10089951,02/22/2011,PASSED,BOILER ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=10089951
10002293,01/12/2011,PASSED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=10002293
10002295,01/12/2011,FAILED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=10002295
2374203,10/04/2010,PASSED,REFRIGERATION ANNUAL,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2374203
9974938,09/09/2010,FAILED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=9974938
2677167,09/09/2010,FAILED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2677167
9762140,09/02/2010,FAILED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=9762140
9959603,06/30/2010,FAILED,CONSERVATION COMPLAINT INSPECT,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=9959603
2688652,06/15/2010,FAILED,CONSERVATION ANNUAL,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2688652
9748377,02/11/2010,PASSED,BOILER ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=9748377
2354095,12/29/2009,PASSED,PERMIT INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2354095
2639899,08/21/2009,PASSED,VENT ANNUAL,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2639899
1896682,07/27/2009,CLOSED,ELECTRICAL PERMIT INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1896682
2576870,03/25/2009,PASSED,ELECTRICAL PERMIT INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2576870
2565707,03/25/2009,PASSED,DOB PLUMBING INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2565707
2576872,03/25/2009,PASSED,DOB VENT/FURNACE INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2576872
2408216,03/25/2009,PASSED,DOB NEW CONSTRUCTION INSP,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2408216
2648465,03/04/2009,FAILED,CONSERVATION ANNUAL,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2648465
2408214,01/30/2009,PARTIAL PASSED,DOB VENT/FURNACE INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2408214
2559724,01/30/2009,PASSED,DOB VENT/FURNACE INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2559724
2408213,01/30/2009,PARTIAL PASSED,ELECTRICAL PERMIT INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2408213
2559720,01/29/2009,PASSED,DOB VENT/FURNACE INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2559720
2565706,01/26/2009,PARTIAL PASSED,DOB PLUMBING INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2565706
2008609,01/23/2009,PASSED,CONSTRUCTION EQUIPMENT PERMIT,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2008609
2561851,01/21/2009,PASSED,BOILER PERMIT INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2561851
2561850,01/21/2009,PASSED,BOILER PERMIT INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2561850
2561849,01/21/2009,PASSED,BOILER PERMIT INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2561849
2564084,01/21/2009,PASSED,BOILER PERMIT INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2564084
2510789,01/21/2009,PASSED,BOILER ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2510789
1613908,01/15/2009,PARTIAL PASSED,DOB VENT/FURNACE INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1613908
1613901,01/15/2009,PARTIAL PASSED,DOB VENT/FURNACE INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1613901
2020266,01/15/2009,PASSED,DOB NEW CONSTRUCTION INSP,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2020266
2017661,01/15/2009,PASSED,DOB NEW CONSTRUCTION INSP,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2017661
2017660,01/15/2009,PASSED,DOB NEW CONSTRUCTION INSP,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2017660
1839870,01/15/2009,PASSED,BLDG_PERM IRON PERMIT INSP,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1839870
1840048,01/15/2009,PASSED,BLDG_PERM IRON PERMIT INSP,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1840048
2020263,01/15/2009,PASSED,ELECTRICAL PERMIT INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2020263
1613904,01/15/2009,PASSED,ELECTRICAL PERMIT INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1613904
1613897,01/15/2009,PASSED,ELECTRICAL PERMIT INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1613897
2020264,01/15/2009,PASSED,DOB PLUMBING INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2020264
1613906,01/15/2009,PASSED,DOB PLUMBING INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1613906
2314825,01/15/2009,PASSED,DOB PLUMBING INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2314825
2020265,01/15/2009,PASSED,DOB VENT/FURNACE INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2020265
1613907,12/31/2008,PASSED,DOB REFRIGERATION INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1613907
1613900,12/31/2008,PASSED,DOB REFRIGERATION INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1613900
2566069,11/25/2008,PASSED,PUMP ACCEPTANCE TEST,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2566069
2391718,11/25/2008,PASSED,PUMP ACCEPTANCE TEST,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2391718
2119488,10/22/2008,FAILED,REFRIGERATION ANNUAL,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2119488
2261834,08/29/2008,PARTIAL PASSED,PERMIT INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2261834
2314122,07/11/2008,PARTIAL PASSED,DOB PLUMBING INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2314122
1894630,07/08/2008,PARTIAL PASSED,DOB PLUMBING INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1894630
2168070,06/02/2008,PASSED,CONSERVATION ANNUAL,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2168070
2154189,05/14/2008,PASSED,VENT ANNUAL,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2154189
2074609,04/09/2008,PASSED,BOILER ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2074609
2091277,04/04/2008,PASSED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2091277
1966669,02/27/2008,PARTIAL PASSED,PERMIT INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1966669
1613902,11/01/2007,PARTIAL PASSED,DOB NEW CONSTRUCTION INSP,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1613902
1871104,11/01/2007,PARTIAL PASSED,DOB NEW CONSTRUCTION INSP,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1871104
1943916,08/15/2007,PARTIAL PASSED,PERMIT INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1943916
1951026,07/31/2007,PARTIAL PASSED,CONSTRUCTION EQUIPMENT PERMIT,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1951026
1973677,07/31/2007,PARTIAL PASSED,CONSTRUCTION EQUIPMENT PERMIT,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1973677
2008607,07/31/2007,PARTIAL PASSED,CONSTRUCTION EQUIPMENT PERMIT,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2008607
1957863,07/13/2007,PASSED,CONSTRUCTION EQUIPMENT PERMIT,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1957863
1937982,07/13/2007,PARTIAL PASSED,CONSTRUCTION EQUIPMENT PERMIT,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1937982
1768615,06/21/2007,PASSED,CONSERVATION ANNUAL,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1768615
1912893,06/13/2007,PARTIAL PASSED,CONSTRUCTION EQUIPMENT PERMIT,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1912893
1882042,05/25/2007,PARTIAL PASSED,CONSTRUCTION EQUIPMENT PERMIT,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1882042
1621186,05/16/2007,PARTIAL PASSED,PERMIT INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1621186
1613899,05/10/2007,PARTIAL PASSED,DOB PLUMBING INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1613899
1881043,04/20/2007,PARTIAL PASSED,CONSTRUCTION EQUIPMENT PERMIT,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1881043
1613909,04/06/2007,PARTIAL PASSED,DOB NEW CONSTRUCTION INSP,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1613909
1652466,04/06/2007,PASSED,BOILER ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1652466
1749666,03/08/2007,PASSED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1749666
1664779,02/13/2007,PARTIAL PASSED,BLDG_PERM IRON PERMIT INSP,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1664779
1664784,02/13/2007,PARTIAL PASSED,BLDG_PERM IRON PERMIT INSP,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1664784
1613903,02/07/2007,PARTIAL PASSED,CONSTRUCTION EQUIPMENT PERMIT,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1613903
1613910,02/05/2007,PARTIAL PASSED,CONSTRUCTION EQUIPMENT PERMIT,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1613910
1613898,12/21/2006,PARTIAL PASSED,BLDG_PERM IRON PERMIT INSP,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1613898
1613905,12/21/2006,PARTIAL PASSED,BLDG_PERM IRON PERMIT INSP,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1613905
1113224,12/13/2006,PASSED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1113224
1340193,08/25/2006,PASSED,REFRIGERATION ANNUAL,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1340193
1332657,06/20/2006,PASSED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1332657
1396179,06/01/2006,PASSED,VENT ANNUAL,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1396179
1242229,03/10/2006,PASSED,BOILER ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1242229
1064281,07/14/2005,PASSED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1064281
833206,06/29/2005,PASSED,REFRIGERATION ANNUAL,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=833206
965745,06/25/2005,PASSED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=965745
916641,06/17/2005,PASSED,CONSERVATION ANNUAL,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=916641
951019,03/21/2005,PASSED,BOILER ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=951019
779987,07/08/2004,PASSED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=779987
745379,07/08/2004,PASSED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=745379
734609,06/07/2004,PASSED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=734609
577179,02/20/2004,PASSED,BOILER ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=577179
495435,07/07/2003,PASSED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=495435
251124,06/25/2003,PASSED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=251124
465051,06/25/2003,PASSED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=465051
417334,05/30/2003,PASSED,SIGN ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=417334
458503,03/05/2003,FAILED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=458503
440211,02/10/2003,PASSED,BOILER ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=440211
200272,10/02/2002,PASSED,SIGN ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=200272
707841,10/02/2002,CLOSED,SIGN ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=707841
251273,07/11/2002,PASSED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=251273
245364,07/10/2002,PASSED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=245364
175477,02/16/2002,PASSED,BOILER ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=175477
9639744,12/22/2001,CLOSED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=9639744
130127,08/20/2001,CLOSED,FIRE PREVENTION PUMPS LEGACY,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130127
25836,07/09/2001,PASSED,SIGN ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=25836
130126,05/09/1997,CLOSED,FIRE PREVENTION PUMPS LEGACY,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130126
9475223,01/28/1997,CLOSED,ELEVATOR LEGACY INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=9475223
9457580,01/21/1997,CLOSED,ELEVATOR LEGACY INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=9457580
130125,03/21/1996,CLOSED,FIRE PREVENTION PUMPS LEGACY,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125
